,,,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meter,Description,Building,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,Summer Term,Fall Term,Winter Term,Spring Term,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-246,Jefferson Way Main Campus Delivery,4002 - Jefferson Way,"2,045,000","2,727,000","2,751,000","2,060,000","2,050,000","2,546,000","1,420,000","1,754,000","1,766,000","1,652,000","1,652,000","1,817,000","7,523,000","6,656,000","4,940,000","5,121,000","24,240,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-190,Campus Way East of 30th Ag Science Bldg,0079 - Agricultural & Life Sciences Building,"446,800","484,400","433,200","426,400","467,200","438,400","457,200","394,800","401,200","424,800","406,400","420,000","1,364,400","1,332,000","1,253,200","1,251,200","5,200,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153-000-E,MAGRUDER,0153 - Magruder Hall,"326,710","309,827","322,236","266,914","268,576","265,036","253,758","341,105","200,349","250,994","248,988","352,201","958,773","800,526","795,212","852,183","3,406,694",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073-001-E,CORDLEY,0073 - Cordley Hall,"255,112","307,787","322,583","268,219","277,392","320,817","218,472","393,771","207,222","280,438","234,011","300,918","885,482","866,428","819,465","815,367","3,386,742",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-181,Temp Up & Down Engnrg Center-Kelley,0003 - Kelley Engineering Center,"257,200","306,800","293,600","275,600","292,400","278,800","297,600","273,200","268,400","278,400","272,400","278,800","857,600","846,800","839,200","829,600","3,373,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-191,Waldo Place and Jefferson Way,0036 - The Valley Library,"331,800","338,400","295,800","269,400","271,200","228,600","224,400","232,800","233,400","216,000","225,000","279,600","966,000","769,200","690,600","720,600","3,146,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071-000-E,Linus Pauling Science Center - Building load,0071 - Linus Pauling Science Center,"293,085","289,671","290,129","249,377","261,358","254,210","228,084","316,185","168,863","237,394","220,295","315,871","872,885","764,945","713,132","773,559","3,124,522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-109,FERL-Richardson,0148 - Richardson Hall,"299,040","322,560","300,720","252,720","257,280","230,160","241,920","217,440","218,160","201,360","211,680","197,760","922,320","740,160","677,520","610,800","2,950,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-033,General-Envir. Computing LAB,0068 - Burt Hall,"194,880","212,480","198,080","188,960","203,760","195,200","211,040","188,560","188,560","204,240","190,960","198,240","605,440","587,920","588,160","593,440","2,374,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
