,,,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Apr-26,May-26,Jun-26,Summer Term,Fall Term,Winter Term,Spring Term,Annual,, Lab space ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meter,Description,Building,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,KWH Used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-246,Jefferson Way Main Campus Delivery,4002 - Jefferson Way,"2,789,000","4,239,000","3,638,000","5,000,000","1,882,000","1,691,000","902,000","985,000","1,073,000","827,000","2,193,000","1,376,000","10,666,000","8,573,000","2,960,000","4,396,000","26,595,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-190,Campus Way East of 30th Ag Science Bldg,0079 - Agricultural & Life Sciences Building,"445,200","426,800","426,800","430,800","421,200","468,800","431,200","414,000","446,800","412,000","420,000","434,800","1,298,800","1,320,800","1,292,000","1,266,800","5,178,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153-000-E,MAGRUDER,0153 - Magruder Hall,"366,209","417,270","278,194","258,815","952,282","502,625","227,457","433,365","190,300","275,300","265,400","471,390","1,061,673","1,713,722","851,122","1,012,090","4,638,607",,"32,602,098",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
073-001-E,CORDLEY,0073 - Cordley Hall,"325,270","262,785","264,825","311,799","311,799","135,250","402,282","336,146","374,596","383,057","180,365","142,246","852,880","758,848","1,113,024","705,668","3,430,420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
071-000-E,Linus Pauling Science Center - Building load,0071 - Linus Pauling Science Center,"346,215","273,715","356,985","236,303","236,303","575,440","259,000","292,500","178,600","241,600","250,400","71,778","976,915","1,048,045","730,100","563,778","3,318,839",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-191,Waldo Place and Jefferson Way,0036 - The Valley Library,"315,000","327,600","336,000","291,000","227,400","234,600","193,200","189,000","193,200","177,600","205,200","214,800","978,600","753,000","575,400","597,600","2,904,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-033,General-Envir. Computing LAB,0068 - Burt Hall,"209,920","202,800","212,160","188,880","175,760","191,760","187,840","182,480","192,960","182,320","186,240","194,640","624,880","556,400","563,280","563,200","2,307,760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153-437-NO,MAGRUDER-NEW,0153 - Magruder Hall,"232,717","237,103","154,734","164,836","168,592","137,217","161,447","308,261","126,400","184,300","175,700","280,461","624,554","470,645","596,108","640,461","2,331,768",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19733981-001-379,SW 26th Ave,0120 - Reser Stadium,"155,700","149,400","165,000","166,500","210,900","207,900","204,000","202,200","199,800","158,100","152,400","144,900","470,100","585,300","606,000","455,400","2,116,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
