,,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,,,,,
Meter #,Building,Lbs Used,Lbs Used,Lbs Used,Lbs Used,Lbs Used,Lbs Used,Lbs Used,Lbs Used,Lbs Used,Lbs Used,Lbs Used,Lbs Used,Summer,Fall,Winter ,Spring,Annual
012-000-S,Gilbert Add.,0,0,0,"432,600","294,900","337,400","491,400","90,266,800","429,700","91,400",600,0,0,"1,064,900","91,187,900","92,000","92,344,800"
079-000-S,Ag Life Science,"1,274,500","776,200","1,460,600","1,981,800","3,522,400","4,583,200","3,561,500","6,521,800","2,229,500","2,509,500","1,524,100","2,230,700","3,511,300","10,087,400","12,312,800","6,264,300","32,175,800"
015-000-S,Gilbert Hall,0,0,0,"790,000","3,460,000","3,130,000","5,550,000","4,130,000","3,460,000","3,180,000","2,500,000","390,000",0,"7,380,000","13,140,000","6,070,000","26,590,000"
148-000-S,Richardson,"1,936,200","2,151,400","2,339,500","1,432,200","1,408,800","1,850,200","1,537,800","2,331,000","1,083,200","1,119,100","971,400","1,800,000","6,427,100","4,691,200","4,952,000","3,890,500","19,960,800"
017-000-S,Weniger,"98,800","99,700","119,000","120,000","1,826,700","2,914,400","2,323,200","3,873,200","1,531,800","1,672,400","1,180,700","394,300","317,500","4,861,100","7,728,200","3,247,400","16,154,200"
073-002-S,Cordley (Old),"843,669","218,909","178,266","361,870","1,582,893","3,045,255","3,677,722","3,981,721","983,458","507,012","214,329","383,212","1,240,844","4,990,018","8,642,901","1,104,553","15,978,316"
190-000-S,McNary Hall Master,"6,700","6,400","6,700","207,300","1,067,300","1,618,900","2,605,100","2,454,100","1,398,400","944,800","518,700","332,100","19,800","2,893,500","6,457,600","1,795,600","11,166,500"
033-000-S,Gladys Valley Gymnastics Center,"48,950","3,914","28,188","817,938","3,171,080","809,852","1,972,886","2,443,000","918,537","119,664","56,844","18,076","81,052","4,798,870","5,334,423","194,584","10,408,929"
071-000-S,Linus Pauling Science Ctr Bld Mtr,"134,400","65,100","254,300","432,600","1,001,500","1,622,000","1,324,700","2,241,300","844,800","907,100","584,200","457,700","453,800","3,056,100","4,410,800","1,949,000","9,869,700"
121-000-S,Gill Coliseum,600,100,0,0,"485,600","1,141,800","1,237,600","1,840,500","887,800","1,023,300","942,300","690,100",700,"1,627,400","3,965,900","2,655,700","8,249,700"
098-000-S,Radiation CTR,"32,300","95,500","73,000","349,700","718,000","763,300","1,259,000","914,400","731,300","610,700","567,400","60,100","200,800","1,831,000","2,904,700","1,238,200","6,174,700"
105-000-S,Langton,"220,500","115,200","231,100","290,300","653,900","662,100","899,000","1,093,800","436,300","464,600","367,100","352,200","566,800","1,606,300","2,429,100","1,183,900","5,786,100"
011-000-S,Dearborn,0,300,600,"161,800","737,600","678,600","1,205,100","948,300","707,300","522,400","472,200","74,000",900,"1,578,000","2,860,700","1,068,600","5,508,200"
139-000-S,W.Greenhouse,0,0,0,"63,700","432,800","1,215,900","844,300","1,852,100","500,800","303,500","141,300","69,500",0,"1,712,400","3,197,200","514,300","5,423,900"
114-75-S,Magruder North,"136,900","122,900","167,900","212,000","376,400","716,700","574,800","1,113,500","460,900","448,100","375,800","338,200","427,700","1,305,100","2,149,200","1,162,100","5,044,100"
030-000-S,Pharmacy,"100,400","160,600","186,500","351,100","509,300","502,200","809,500","858,600","493,800","456,000","397,600","193,900","447,500","1,362,600","2,161,900","1,047,500","5,019,500"
109-000-S,Weatherford H.,700,"1,300","2,400","192,100","513,100","553,900","958,900","756,600","523,300","490,000","531,900","181,200","4,400","1,259,100","2,238,800","1,203,100","4,705,400"
096-000-S,Sackett,300,300,400,"307,500","510,500","520,200","879,700","706,400","516,200","515,500","515,400","153,300","1,000","1,338,200","2,102,300","1,184,200","4,625,700"
008-000-S,Johnson Hall,"172,900","111,800","123,300","351,100","356,800","704,500","560,400","966,662","350,738","373,700","230,500","267,700","408,000","1,412,400","1,877,800","871,900","4,570,100"
113-000-S,West Dining,"74,900","87,000","77,200","375,700","556,000","440,300","755,800","613,700","523,300","304,100","343,200","340,900","239,100","1,372,000","1,892,800","988,200","4,492,100"
081-000-S,Milam Hall,346,644,752,"46,920","494,432","827,910","685,230","1,155,782","487,714","455,104","202,192",456,"1,742","1,369,262","2,328,726","657,752","4,357,482"
021-000-S,Nash,"15,100","17,400","175,600","465,800","384,300","633,400","1,156,100","829,000","265,500","112,600","112,400","66,200","208,100","1,483,500","2,250,600","291,200","4,233,400"
207-000-S,INTO,"26,444","10,892","22,132","129,976","515,972","522,976","909,052","871,204","305,520","326,860","245,468","114,552","59,468","1,168,924","2,085,776","686,880","4,001,048"
086-000-S,Women's Building,"94,600","26,300","69,100","167,200","481,300","592,500","660,000","555,000","503,900","394,972","353,016","87,332","190,000","1,241,000","1,718,900","835,320","3,985,220"
128-000-S,Wiegand Hall,"31,424","52,004","61,920","117,940","507,696","670,784","554,728","761,888","331,620","374,732","318,412","180,944","145,348","1,296,420","1,648,236","874,088","3,964,092"
204-000-S,Halsell,"268,500","370,300","344,300","367,600","285,500","221,100","428,000","424,100","139,600","306,600","326,600","286,000","983,100","874,200","991,700","919,200","3,768,200"
213-000-S,Peavy Forest Science Center,"60,940","110,090","67,880","1,500","180,650","854,790","506,430","1,365,300","210,630","71,820","45,410","66,650","238,910","1,036,940","2,082,360","183,880","3,542,090"
119-000-S,Hawley,"269,000","372,100","346,900","317,800","236,300","238,300","398,100","320,600","225,900","253,300","299,400","195,700","988,000","792,400","944,600","748,400","3,473,400"
083-002-S,MU Main,0,0,0,"72,500","371,500","310,000","780,300","391,900","410,200","319,800","411,700","71,500",0,"754,000","1,582,400","803,000","3,139,400"
196-000-S,Finley,300,100,200,"33,700","369,200","391,000","644,600","781,200","208,600","308,700","216,600","100,400",600,"793,900","1,634,400","625,700","3,054,600"
198-000-S,Bloss,"1,700","1,270","2,300","83,400","197,300","251,000","657,000","600,000","423,500","352,200","295,000","32,300","5,270","531,700","1,680,500","679,500","2,896,970"
003-000-S,Kelley Engineering,"119,500","127,100","146,000","165,900","268,800","368,700","432,000","385,000","245,900","279,500","170,800","111,100","392,600","803,400","1,062,900","561,400","2,820,300"
022-000-S,Owen Hall,"124,840","164,820","142,660","192,350","215,394","267,094","441,359","352,800","220,300","206,100","163,600","137,600","432,320","674,838","1,014,459","507,300","2,628,917"
197-000-S,Arnold,"25,000","35,100","32,900","113,100","210,900","329,100","490,600","671,300","301,700","92,300","158,600","161,100","93,000","653,100","1,463,600","412,000","2,621,700"
067-000-S,Ballard Extension,0,"56,300","243,629","275,600","59,639","50,200","317,245","1,001,500","182,087","98,258","130,186","71,005","299,929","385,439","1,500,832","299,449","2,485,649"
036-001-S,Valley Lib.,"114,100","88,400","136,000","275,600","239,600","313,700","315,000","358,000","260,000","206,600","84,700","6,800","338,500","828,900","933,000","298,100","2,398,500"
112-000-S,Poling meter,"2,500",900,"1,200","101,600","251,000","298,100","466,600","393,500","300,200","259,700","204,500","52,600","4,600","650,700","1,160,300","516,800","2,332,400"
016-001-S,Gleeson,"226,300","249,300","308,900","2,500","128,330","168,600","243,300","193,000","156,500","265,200","159,800","212,600","784,500","299,430","592,800","637,600","2,314,330"
038-752-S,Strand Ag,0,"1,815","148,223","32,600","272,840","332,112","642,192","376,984","232,968","127,464","110,644",0,"150,038","637,552","1,252,144","238,108","2,277,842"
114-000-S,Cauthorn,"2,200","1,100","3,300","95,900","260,500","303,300","486,500","417,500","258,000","209,500","165,200","53,100","6,600","659,700","1,162,000","427,800","2,256,100"
145-003-S,Dixon Master,"8,200","11,700","14,500","492,200","448,800","247,900","72,100","39,500","9,400","333,600","164,000","408,900","34,400","1,188,900","121,000","906,500","2,250,800"
100-001-S,Snell Hall,0,0,0,"37,100","283,100","367,700","375,400","547,200","233,400","189,300","112,900","28,200",0,"687,900","1,156,000","330,400","2,174,300"
100-001-S,Snell Hall,0,0,0,"12,700","283,100","367,700","375,400","547,200","233,400","189,300","112,900","28,200",0,"663,500","1,156,000","330,400","2,149,900"
111-000-S,Buxton,"7,800","6,100","15,300","118,200","225,900","249,700","424,400","346,800","228,000","261,000","180,200","56,700","29,200","593,800","999,200","497,900","2,120,100"
142-000-S,Indoor Practice Fac,500,600,500,100,0,"258,300","158,600","456,000","406,600","369,500","239,000","184,000","1,600","258,400","1,021,200","792,500","2,073,700"
034-000-S,Kidder,"20,700","28,000","30,300","32,600","255,700","276,200","434,400","378,600","237,200","148,400","119,300","49,300","79,000","564,500","1,050,200","317,000","2,010,700"
012-000-S,Gilbert Add.,0,0,0,"20,400","294,900","337,400","491,400","296,000","429,700","91,400",600,0,0,"652,700","1,217,100","92,000","1,961,800"
105-001-S,Langton Hall - Pool,"58,000","75,046","125,278","139,352","193,080","171,100","228,940","303,136","142,408","154,956","132,012","122,486","258,324","503,532","674,484","409,454","1,845,794"
083-003-S,MU Café,"120,500","169,100","157,200","150,700","115,600","83,200","279,000","185,900","120,900","111,100","157,500","91,100","446,800","349,500","585,800","359,700","1,741,800"
007-001-S,Covell,"83,875","111,762","101,356","361,870","201,511","34,147","195,584","191,270","114,677","117,400","110,000","84,700","296,993","597,528","501,531","312,100","1,708,152"
115-000-S,West Hall,"5,900","6,900","13,700","111,000","168,900","177,900","334,500","279,500","169,400","152,300","143,800","52,100","26,500","457,800","783,400","348,200","1,615,900"
USFS-000-S,USDA01,"8,200","14,400","15,000","21,800","120,200","233,300","589,000","320,400","124,600","82,100","34,100","37,200","37,600","375,300","1,034,000","153,400","1,600,300"
023-002-S,LINC,"4,792","15,712","27,552","465,800","96,889","177,675","309,398","152,000","136,100","89,800","30,100","10,700","48,056","740,364","597,498","130,600","1,516,518"
102-000-S,Waldo Hall,402,540,592,"69,100","186,400","191,000","285,000","309,000","202,900","176,900","30,900","12,500","1,534","446,500","796,900","220,300","1,465,234"
151-000-S,Dryden Hall,"42,939","46,306",994,"3,800","196,792","255,676","245,059","319,865","169,249","113,179","41,427","24,143","90,239","456,268","734,173","178,749","1,459,429"
106-000-S,Moreland,"52,900","62,900","82,300","81,800","112,600","129,700","186,000","269,000","115,200","136,100","59,100","47,400","198,100","324,100","570,200","242,600","1,335,000"
028-002-S,Furman Hall,500,800,"1,400","30,700","139,900","147,700","238,800","301,000","167,700","123,700","105,000","19,700","2,700","318,300","707,500","248,400","1,276,900"
068-002-S,Burt  2,"1,800","1,900","2,400","1,500","115,900","266,700","106,100","434,000","12,500","6,600","5,500","7,100","6,100","384,100","552,600","19,200","962,000"
084-000-S,Gilmore Hall,0,0,0,"2,200","101,540","163,221","150,888","295,802","111,547","70,606","41,892","10,405",0,"266,961","558,237","122,903","948,101"
039-002-S,Student Experience Center,"7,400","4,900","30,100","79,600","92,700","113,800","282,000","152,800","81,600","44,400","55,900",0,"42,400","286,100","516,400","100,300","945,200"
259-000-S,Lab Animal R.,"28,600","10,800","10,600","33,200","51,100","50,000","261,400","144,000","119,200","35,900","33,800","38,900","50,000","134,300","524,600","108,600","817,500"
100-003-S,Snell TV,200,0,100,"20,400","98,400","88,900","182,700","209,800","76,900","58,500","34,000","30,800",300,"207,700","469,400","123,300","800,700"
090-002-S,Austin Hall,"2,137","3,342","3,640","14,383","76,196","143,146","233,225","171,487","75,073","37,979","21,926","5,512","9,119","233,725","479,785","65,417","788,046"
080-001-S,Crop Science,"4,900","3,400","2,500","9,500","65,200","135,900","113,100","206,700","72,900","36,000","7,600","6,900","10,800","210,600","392,700","50,500","664,600"
100-002-S,Snell Café,500,"2,300","5,300","120,000","99,300","103,900","112,800","92,700","65,600","44,600","11,300",100,"8,100","323,200","271,100","56,000","658,400"
068-001-S,Burt  1,"7,000","3,400","24,100","3,800","27,800","119,100","78,400","202,100","55,600","39,400","15,100","29,100","34,500","150,700","336,100","83,600","604,900"
153-000-S,Magruder,0,0,0,0,"35,000","171,000","82,900","260,800","29,900","4,300","3,900",0,0,"206,000","373,600","8,200","587,800"
