,,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26,Apr-26,May-26,Jun-26,,,,,,,Lab space
Meter #,Building,Lbs Used,Lbs Used,Lbs Used,Lbs Used,Lbs Used,Lbs Used,Lbs Used,Lbs Used,Lbs Used,Lbs Used,Lbs Used,Lbs Used,Summer,Fall,Winter ,Spring,Annual,,
079-000-S,Ag Life Science,"1,192,700","1,018,000","1,486,600","2,242,900","2,242,900","2,414,900","3,788,500","5,772,000","2,704,800","3,244,700","2,520,900","4,006,300","3,697,300","6,900,700","12,265,300","9,771,900","32,635,200",,"157,503,135"
015-000-S,Gilbert Hall,0,0,0,"1,790,000","1,790,000","1,840,000","5,510,000","4,730,000","3,880,000","1,750,000","1,840,000","970,000",0,"5,420,000","14,120,000","4,560,000","24,100,000",,
148-000-S,Richardson,"1,695,700","1,870,700","492,500","1,276,000","1,276,000","964,300","1,109,100","1,646,900","1,539,400","1,190,100","1,406,100","1,194,800","4,058,900","3,516,300","4,295,400","3,791,000","15,661,600",,
017-000-S,Weniger,"94,900","83,700","96,700","1,058,450","1,058,450","1,601,200","2,325,100","3,432,500","2,203,900","1,401,000","564,900","99,300","275,300","3,718,100","7,961,500","2,065,200","14,020,100",,
190-000-S,McNary Hall Master,"12,300","9,800","6,600","321,600","1,234,400","793,200","2,410,900","3,234,200","1,839,900","709,600","513,900","160,900","28,700","2,349,200","7,485,000","1,384,400","11,247,300",,
145-003-S,Dixon Master,"1,162,200","2,348,100","3,784,100","202,300","133,500","426,400","954,500","710,800","157,200","309,200","135,600","421,900","7,294,400","762,200","1,822,500","866,700","10,745,800",,
071-000-S,Linus Pauling Science Ctr Bld Mtr,"91,000","49,800","110,800","717,500","717,600","917,600","1,327,300","1,996,600","987,600","1,307,600","637,500","372,700","251,600","2,352,700","4,311,500","2,317,800","9,233,600",,
121-000-S,Gill Coliseum,0,100,0,"377,700","1,348,800","1,146,500","1,612,800","2,000,200","1,523,400","163,700",0,0,100,"2,873,000","5,136,400","163,700","8,173,200",,
073-002-S,Cordley (Old),"173,990","137,354","162,148","296,018","296,018","355,457","926,911","1,738,391","648,398","365,935","653,556","1,999,814","473,492","947,493","3,313,700","3,019,305","7,753,990",,
098-000-S,Radiation CTR,"24,900","96,500","77,200","309,600","728,200","785,300","1,251,000","875,000","728,900","613,200","599,600","60,900","198,600","1,823,100","2,854,900","1,273,700","6,150,300",,
105-000-S,Langton,"255,200","173,200","222,400","411,050","411,050","454,000","670,500","1,207,400","612,400","613,900","300,400","192,600","650,800","1,276,100","2,490,300","1,106,900","5,524,100",,
114-75-S,Magruder North,"167,000","126,800","147,800","341,900","341,900","389,500","597,100","1,113,500","474,900","553,100","346,000","717,600","441,600","1,073,300","2,185,500","1,616,700","5,317,100",,
030-000-S,Pharmacy,"178,100","121,900","171,900","421,800","421,800","297,200","951,600","807,100","666,600","564,900","189,400","162,700","471,900","1,140,800","2,425,300","917,000","4,955,000",,
086-000-S,Women's Building,"98,091","65,857","13,652","448,160","448,160","312,048","887,284","809,876","755,524","414,200","299,512","110,824","177,600","1,208,368","2,452,684","824,536","4,663,188",,
021-000-S,Nash,"21,900","23,200","44,600","105,900","202,700","501,400","1,200,500","968,500","871,900","414,400","117,400","51,600","89,700","810,000","3,040,900","583,400","4,524,000",,
139-000-S,W.Greenhouse,0,0,300,"130,300","375,500","435,200","1,220,200","1,296,800","514,400","270,900","156,700","68,400",300,"941,000","3,031,400","496,000","4,468,700",,
109-000-S,Weatherford H.,"14,800","6,700","39,100","150,100","574,000","297,300","864,800","821,300","670,400","335,800","413,100","145,700","60,600","1,021,400","2,356,500","894,600","4,333,100",,
207-000-S,INTO,"51,056","90,280","13,820","360,270","360,270","295,520","953,556","833,528","452,532","232,840","242,384","316,140","155,156","1,016,060","2,239,616","791,364","4,202,196",,
011-000-S,Dearborn,100,200,"12,800","288,200","288,200","218,400","763,300","863,600","501,000","740,400","458,000",0,"13,100","794,800","2,127,900","1,198,400","4,134,200",,
204-000-S,Halsell,"502,200","346,600","314,800","324,200","344,000","161,600","440,000","374,100","387,500","296,600","235,900","371,400","1,163,600","829,800","1,201,600","903,900","4,098,900",,
213-000-S,Peavy Forest Science Center,"35,080","54,280","49,990","154,525","154,525","303,280","889,650","1,312,550","428,400","141,700","470,800","40,870","139,350","612,330","2,630,600","653,370","4,035,650",,
113-000-S,West Dining,"58,900","49,600","60,500","277,700","480,300","501,000","649,300","640,100","564,700","459,700","97,200","140,800","169,000","1,259,000","1,854,100","697,700","3,979,800",,
119-000-S,Hawley,"454,600","325,500","382,900","309,900","277,300","130,500","400,800","373,700","327,400","187,000","313,200","299,600","1,163,000","717,700","1,101,900","799,800","3,782,400",,
081-000-S,Milam Hall,544,502,"2,154","164,768","164,768","438,348","647,312","1,018,976","563,940","310,910","224,500","25,406","3,200","767,884","2,230,228","560,816","3,562,128",,
128-000-S,Wiegand Hall,"263,368","4,064","6,656","270,744","270,744","315,760","602,896","719,584","409,100","142,166","176,080","3,056","274,088","857,248","1,731,580","321,302","3,184,218",,
083-002-S,MU Main,0,0,0,"157,100","475,400","234,200","659,500","573,600","570,100","271,200","241,800",0,0,"866,700","1,803,200","513,000","3,182,900",,
003-000-S,Kelley Engineering,"130,800","136,100","155,800","189,200","314,500","409,100","438,100","414,400","263,200","309,000","158,100","111,500","422,700","912,800","1,115,700","578,600","3,029,800",,
096-000-S,Sackett,100,0,100,"201,700","490,700","252,600","686,100","561,500","428,300","239,900","86,100",100,200,"945,000","1,675,900","326,100","2,947,200",,
196-000-S,Finley,"11,500",100,"2,400","147,000","379,800","203,800","676,800","620,100","465,000","270,900","94,200","72,800","14,000","730,600","1,761,900","437,900","2,944,400",,
022-000-S,Owen Hall,"218,700","144,300","146,100","228,000","228,000","148,200","489,900","304,800","384,000","257,400","169,400","108,300","509,100","604,200","1,178,700","535,100","2,827,100",,
198-000-S,Bloss,"2,300","1,600","2,900","65,600","138,500","168,400","653,900","596,100","442,100","351,300","282,500","35,300","6,800","372,500","1,692,100","669,100","2,740,500",,
016-001-S,Gleeson,"267,300","251,200","303,500","190,100","115,700","162,100","251,000","187,500","158,400","310,500","147,600","222,100","822,000","467,900","596,900","680,200","2,567,000",,
100-001-S,Snell Hall,0,0,0,"201,000","201,000","262,100","385,500","619,400","332,500","264,900","116,800",0,0,"664,100","1,337,400","381,700","2,383,200",,
100-001-S,Snell Hall,0,0,0,"201,000","201,000","262,100","385,500","619,400","332,500","264,900","116,800",0,0,"664,100","1,337,400","381,700","2,383,200",,
142-000-S,Indoor Practice Fac,"39,200","39,600","73,100","131,950","131,950","342,500","399,900","788,900","283,900","93,200",0,"17,900","151,900","606,400","1,472,700","111,100","2,342,100",,
197-000-S,Arnold,"13,800","15,000","21,400","113,700","215,300","354,000","457,100","511,600","335,600","212,200",0,0,"50,200","683,000","1,304,300","212,200","2,249,700",,
115-000-S,West Hall,"6,800","1,100","2,800","50,000","154,200","187,800","521,500","456,800","369,000","167,500","188,300","64,400","10,700","392,000","1,347,300","420,200","2,170,200",,
034-000-S,Kidder,"17,600","2,700","2,400","189,000","189,000","169,400","583,500","221,700","620,000","73,900","65,600",0,"22,700","547,400","1,425,200","139,500","2,134,800",,
083-003-S,MU Café,"147,900","175,600","115,400","119,000","158,800","103,000","320,800","306,000","205,600","132,200","138,700","123,100","438,900","380,800","832,400","394,000","2,046,100",,
111-000-S,Buxton,"6,700",0,"7,600","97,700","231,800","270,100","386,500","324,600","262,000","149,600","153,900","47,400","14,300","599,600","973,100","350,900","1,937,900",,
259-000-S,Lab Animal R.,"14,600","12,200","10,100","24,000","34,200","30,200","204,400","722,200","123,900","94,500","589,600","57,800","36,900","88,400","1,050,500","741,900","1,917,700",,
112-000-S,Poling meter,"9,500","1,100",0,"159,700","159,700","133,300","370,600","434,500","318,000","124,800","90,700","39,000","10,600","452,700","1,123,100","254,500","1,840,900",,
114-000-S,Cauthorn,"12,100","1,400","1,900","24,100","276,000","151,200","417,600","405,700","275,100","114,500","88,500","27,100","15,400","451,300","1,098,400","230,100","1,795,200",,
105-001-S,Langton Hall - Pool,"82,202","37,032","62,638","144,384","144,384","98,798","326,952","302,554","152,700","174,300","137,600","128,500","181,872","387,566","782,206","440,400","1,792,044",,
038-752-S,Strand Ag,140,0,0,"133,944","133,944","115,352","488,780","420,950","232,866","80,196","43,096","97,802",140,"383,240","1,142,596","221,094","1,747,070",,
USFS-000-S,USDA01,"10,400","13,600","22,900","99,200","99,300","222,000","399,500","431,200","194,500","98,100","54,100","40,000","46,900","420,500","1,025,200","192,200","1,684,800",,
028-002-S,Furman Hall,900,500,700,"127,600","127,600","90,400","364,900","290,700","422,100","122,600","45,400",900,"2,100","345,600","1,077,700","168,900","1,594,300",,
102-000-S,Waldo Hall,390,490,560,"73,030","192,800","197,100","282,200","309,200","191,200","184,700","30,800","13,200","1,440","462,930","782,600","228,700","1,475,670",,
007-001-S,Covell,"151,600","101,278","101,722","114,150","114,150","54,800","195,900","176,900","99,800","156,500","114,000","30,900","354,600","283,100","472,600","301,400","1,411,700",,
012-000-S,Gilbert Add.,100,0,100,"144,200","158,100","54,000","540,100","399,700","75,000","36,400","2,200","1,000",200,"356,300","1,014,800","39,600","1,410,900",,
067-000-S,Ballard Extension,"72,400","56,300","226,894","113,861","113,861","53,500","166,364","140,100","124,300","72,732","105,272","109,272","355,594","281,221","430,764","287,276","1,354,855",,
106-000-S,Moreland,"62,800","76,800","60,400","85,200","85,200","89,900","145,100","90,500","274,900","100,000","70,500","86,300","200,000","260,300","510,500","256,800","1,227,600",,
