Month,Time,Coal,NG,Solar,Wind,Hydro,
1,0,0.4,0.4,0,0.05,0.15,
1,1,0.38,0.41,0,0.05,0.16,
1,2,0.37,0.43,0,0.05,0.15,
1,3,0.35,0.45,0,0.05,0.15,
1,4,0.39,0.42,0,0.04,0.15,
1,5,0.38,0.42,0,0.04,0.16,
1,6,0.37,0.43,0.01,0.04,0.15,
1,7,0.35,0.45,0.02,0.03,0.15,
1,8,0.38,0.41,0.03,0.02,0.16,
1,9,0.37,0.42,0.05,0.01,0.15,
1,10,0.36,0.43,0.05,0.01,0.15,
1,11,0.39,0.38,0.06,0.01,0.16,
1,12,0.37,0.39,0.07,0.02,0.15,
1,13,0.36,0.41,0.07,0.01,0.15,
1,14,0.38,0.39,0.06,0.01,0.16,
1,15,0.39,0.38,0.06,0.01,0.16,
1,16,0.38,0.39,0.06,0.02,0.15,
1,17,0.39,0.39,0.05,0.02,0.15,
1,18,0.37,0.43,0.04,0.01,0.15,
1,19,0.4,0.41,0.03,0.02,0.14,
1,20,0.41,0.41,0.01,0.03,0.14,
1,21,0.39,0.42,0,0.04,0.15,
1,22,0.37,0.42,0,0.05,0.16,
1,23,0.36,0.44,0,0.05,0.15,
2,0,0.4,0.4,0,0.05,0.15,
2,1,0.38,0.41,0,0.05,0.16,
2,2,0.35,0.45,0,0.05,0.15,
2,3,0.35,0.45,0,0.05,0.15,
2,4,0.39,0.42,0,0.04,0.15,
2,5,0.38,0.42,0,0.04,0.16,
2,6,0.37,0.43,0.01,0.04,0.15,
2,7,0.35,0.45,0.02,0.03,0.15,
2,8,0.38,0.41,0.03,0.02,0.16,
2,9,0.37,0.42,0.05,0.01,0.15,
2,10,0.36,0.43,0.05,0.01,0.15,
2,11,0.39,0.38,0.06,0.01,0.16,
2,12,0.37,0.39,0.07,0.02,0.15,
2,13,0.36,0.41,0.07,0.01,0.15,
2,14,0.38,0.39,0.06,0.01,0.16,
2,15,0.39,0.38,0.06,0.01,0.16,
